(leave this row),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIT FIELD,SIZE,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isize,2,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
iaddr,3,NXT,BRX,JMP,RTS,RTI,IND,BRK,RSVD,,,,,,,,,,,,,,,,,,,,,,
bfsel,2,C,Z,V,N,,,,,,,,,,,,,,,,,,,,,,,,,,
sdelta,3,0,P1,P2,P3,RSVD,N3,N2,N1,,,,,,,,,,,,,,,,,,,,,,
dop,2,NOP,R,W,RMW,,,,,,,,,,,,,,,,,,,,,,,,,,
daddr,4,IMM,PULL,PUSH1,PUSH2,PUSH3,PUSH4,ZP,ZP_X,ZP_Y,ABS,ABS_X,ABS_Y,IIX,IIY,RSVD1,RSVD2,,,,,,,,,,,,,,
dsize,2,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
wdata,3,RMW,A,X,Y,P,JSR,BRK,RSVD,,,,,,,,,,,,,,,,,,,,,,
sreg,2,A,X,Y,RSVD,,,,,,,,,,,,,,,,,,,,,,,,,,
incdec,1,INC,DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addsub,1,ADD,SUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logic,2,AND,OR,EOR,RSVD,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,2,ASL,LSR,ROL,ROR,,,,,,,,,,,,,,,,,,,,,,,,,,
rmw,1,ID,SHF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reg_a,3,NOP,IMM,MEM,ADD,LOG,SHF,TXA,TYA,,,,,,,,,,,,,,,,,,,,,,
reg_x,3,NOP,IMM,MEM,INX,DEX,TAX,TSX,RSVD,,,,,,,,,,,,,,,,,,,,,,
reg_y,3,NOP,IMM,MEM,INY,DEY,TAY,RSVD1,RSVD2,,,,,,,,,,,,,,,,,,,,,,
flag_c,3,NOP,CLR,SET,ADD,SHF,RSVD1,RSVD2,RSVD3,,,,,,,,,,,,,,,,,,,,,,
flag_zn,3,NOP,ADD,RMW,A,X,Y,BIT,RSVD,,,,,,,,,,,,,,,,,,,,,,
flag_i,2,NOP,CLR,SET,BRK,,,,,,,,,,,,,,,,,,,,,,,,,,
flag_d,2,NOP,CLR,SET,BRK,,,,,,,,,,,,,,,,,,,,,,,,,,
flag_v,2,NOP,CLR,ADD,BIT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIT FIELD/SIZE =>,,valid,fast,isize,iaddr,branch,bfsel,bfval,sdelta,dop,daddr,zpx,dsize,wdata,sreg,cmp,incdec,addsub,logic,shift,rmw,reg_s,reg_p,reg_a,reg_x,reg_y,flag_c,flag_zn,flag_i,flag_d,flag_v
NMEMONIC,OPCODE,1,1,2,3,1,2,1,3,2,4,1,2,3,2,1,1,1,2,2,1,1,1,3,3,3,3,3,2,2,2
ADC_abs,109,x,x,3,.,.,.,.,.,R,ABS,.,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
ADC_abs_X,125,x,x,3,.,.,.,.,.,R,ABS_X,.,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
ADC_abs_Y,121,x,x,3,.,.,.,.,.,R,ABS_Y,.,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
ADC_idx_ind,97,x,x,2,.,.,.,.,.,R,IIX,x,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
ADC_imm,105,x,x,2,.,.,.,.,.,.,.,.,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
ADC_ind_idx,113,x,x,2,.,.,.,.,.,R,IIY,.,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
ADC_zp,101,x,x,2,.,.,.,.,.,R,ZP,.,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
ADC_zp_X,117,x,x,2,.,.,.,.,.,R,ZP_X,.,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
AND_abs,45,x,x,3,.,.,.,.,.,R,ABS,.,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
AND_abs_X,61,x,x,3,.,.,.,.,.,R,ABS_X,.,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
AND_abs_Y,57,x,x,3,.,.,.,.,.,R,ABS_Y,.,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
AND_idx_ind,33,x,x,2,.,.,.,.,.,R,IIX,x,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
AND_imm,41,x,x,2,.,.,.,.,.,R,.,.,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
AND_ind_idx,49,x,x,2,.,.,.,.,.,R,IIY,.,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
AND_zp,37,x,x,2,.,.,.,.,.,R,ZP,.,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
AND_zp_X,53,x,x,2,.,.,.,.,.,R,ZP_X,.,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
ASL_A,10,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,ASL,.,.,.,SHF,.,.,SHF,A,.,.,.
ASL_abs,14,x,.,3,.,.,.,.,.,RMW,ABS,.,1,RMW,.,.,.,.,.,ASL,SHF,.,.,.,.,.,SHF,RMW,.,.,.
ASL_abs_X,30,x,.,3,.,.,.,.,.,RMW,ABS_X,.,1,RMW,.,.,.,.,.,ASL,SHF,.,.,.,.,.,SHF,RMW,.,.,.
ASL_zp,6,x,x,2,.,.,.,.,.,W,ZP,.,1,RMW,.,.,.,.,.,ASL,SHF,.,.,.,.,.,SHF,RMW,.,.,.
ASL_zp_X,22,x,x,2,.,.,.,.,.,W,ZP_X,x,1,RMW,.,.,.,.,.,ASL,SHF,.,.,.,.,.,SHF,RMW,.,.,.
BCC_rel,144,x,x,2,BRX,x,C,0,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
