string(1 to 16),,,,,boolean,integer,video_clk_sel_t,integer range 0 to 1,aspect_t,boolean,integer,integer,,integer,integer,,integer,integer,,integer,integer,,bit,bit
name,V freq,picture aspect,pixel aspect,pixel clock (MHz),dmt,id,clk_sel,pix_rep,aspect,interlace,v_tot,v_act,v_fp,v_sync,v_bp,v_blank,h_tot,h_act,h_fp,h_sync,h_bp,h_blank,vs_pol,hs_pol
640x480p60,59.94Hz,4:3,1:1,25.2,false,1,CLK_SEL_25M2,0,ASPECT_4_3,FALSE,525,480,10,2,33,45,800,640,16,96,48,160,-,-
720x480p60,59.94Hz,4:3,4:9 or 8:93,27,false,2,CLK_SEL_27M0,0,ASPECT_4_3,FALSE,525,480,9,6,30,45,858,720,16,62,60,138,-,-
720x480p60w,59.94Hz,16:9,16:27 or 32:273,27,false,3,CLK_SEL_27M0,0,ASPECT_16_9,FALSE,525,480,9,6,30,45,858,720,16,62,60,138,-,-
1280x720p60,60Hz,16:9,1:1,74.25,false,4,CLK_SEL_74M25,0,ASPECT_16_9,FALSE,750,720,5,5,20,30,1650,1280,110,40,220,370,+,+
1920x1080i60,60Hz,16:9,1:1,74.25,false,5,CLK_SEL_74M25,0,ASPECT_16_9,TRUE,1125,1080,2.5,5,15,22.5,2200,1920,88,44,148,280,+,+
720x480i60,59.94Hz,4:3,8:9,27,false,6,CLK_SEL_27M0,1,ASPECT_4_3,TRUE,525,480,4.5,3,15,22.5,1716,1440,38,124,114,276,-,-
720x480i60w,59.94Hz,16:9,32:27,27,false,7,CLK_SEL_27M0,1,ASPECT_16_9,TRUE,525,480,4.5,3,15,22.5,1716,1440,38,124,114,276,-,-
1920x1080p60,60Hz,16:9,1:1,148.5,false,16,CLK_SEL_148M5,0,ASPECT_16_9,FALSE,1125,1080,4,5,36,45,2200,1920,88,44,148,280,+,+
720x576p50,50Hz,4:3,16:15,27,false,17,CLK_SEL_27M0,0,ASPECT_4_3,FALSE,625,576,5,5,39,49,864,720,12,64,68,144,-,-
720x576p50w,50Hz,16:9,64:45,27,false,18,CLK_SEL_27M0,0,ASPECT_16_9,FALSE,625,576,5,5,39,49,864,720,12,64,68,144,-,-
1280x720p50,50Hz,16:9,1:1,74.25,false,19,CLK_SEL_74M25,0,ASPECT_16_9,FALSE,750,720,5,5,20,30,1980,1280,440,40,220,700,+,+
1920x1080i50,50Hz,16:9,1:1,74.25,false,20,CLK_SEL_74M25,0,ASPECT_16_9,TRUE,1125,1080,2.5,5,15,22.5,2640,1920,528,44,148,720,+,+
720x576i50,50Hz,4:3,16:15,27,false,21,CLK_SEL_27M0,1,ASPECT_4_3,TRUE,625,576,2.5,3,19,24.5,1728,1440,24,126,138,288,-,-
720x576i50w,50Hz,16:9,64:45,27,false,22,CLK_SEL_27M0,1,ASPECT_16_9,TRUE,625,576,2.5,3,19,24.5,1728,1440,24,126,138,288,-,-
1920x1080p50,50Hz,16:9,1:1,148.5,false,31,CLK_SEL_148M5,0,ASPECT_16_9,FALSE,1125,1080,4,5,36,45,2640,1920,528,44,148,720,+,+
